Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_turtle/PPO_Extended
---------------------------------
| rollout/           |          |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.915        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.4e+03      |
|    n_updates            | 3020         |
|    policy_gradient_loss | -0.0069      |
|    std                  | 0.446        |
|    value_loss           | 6.08e+03     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 95.1       |
|    ep_rew_mean          | -72.5      |
| time/                   |            |
|    fps                  | 8          |
|    iterations           | 10         |
|    time_elapsed         | 2335       |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.00398966 |
|    clip_fraction        | 0.0363     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.22      |
|    explained_variance   | 0.907      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.49e+03   |
|    n_updates            | 3030       |
|    policy_gradient_loss | -0.00613   |
|    std                  | 0.446      |
|    value_loss           | 7.36e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.1        |
|    ep_rew_mean          | -103        |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 11          |
|    time_elapsed         | 2563        |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.005593186 |
|    clip_fraction        | 0.0535      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.733       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.89e+03    |
|    n_updates            | 3040        |
|    policy_gradient_loss | -0.00695    |
|    std                  | 0.445       |
|    value_loss           | 1.31e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | -134         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 12           |
|    time_elapsed         | 2783         |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0053387457 |
|    clip_fraction        | 0.0323       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.921        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.6e+03      |
|    n_updates            | 3050         |
|    policy_gradient_loss | -0.00536     |
|    std                  | 0.447        |
|    value_loss           | 5.69e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 122          |
|    ep_rew_mean          | -93.1        |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 13           |
|    time_elapsed         | 3001         |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0029579247 |
|    clip_fraction        | 0.0345       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.911        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.1e+03      |
|    n_updates            | 3060         |
|    policy_gradient_loss | -0.00485     |
|    std                  | 0.449        |
|    value_loss           | 4.68e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 121          |
|    ep_rew_mean          | -158         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 14           |
|    time_elapsed         | 3228         |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0040051695 |
|    clip_fraction        | 0.0332       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.802        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.55e+03     |
|    n_updates            | 3070         |
|    policy_gradient_loss | -0.00427     |
|    std                  | 0.449        |
|    value_loss           | 6.71e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 141          |
|    ep_rew_mean          | -154         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 15           |
|    time_elapsed         | 3447         |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0044780043 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.824        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.06e+03     |
|    n_updates            | 3080         |
|    policy_gradient_loss | -0.0054      |
|    std                  | 0.449        |
|    value_loss           | 4.41e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 138          |
|    ep_rew_mean          | -197         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 16           |
|    time_elapsed         | 3677         |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0063443575 |
|    clip_fraction        | 0.069        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.802        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.82e+03     |
|    n_updates            | 3090         |
|    policy_gradient_loss | -0.0106      |
|    std                  | 0.446        |
|    value_loss           | 4.48e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -148        |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 17          |
|    time_elapsed         | 3911        |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.005452069 |
|    clip_fraction        | 0.0502      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.87        |
|    learning_rate        | 0.0003      |
|    loss                 | 2.98e+03    |
|    n_updates            | 3100        |
|    policy_gradient_loss | -0.00581    |
|    std                  | 0.445       |
|    value_loss           | 7.23e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 132          |
|    ep_rew_mean          | -169         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 18           |
|    time_elapsed         | 4140         |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0057794834 |
|    clip_fraction        | 0.0359       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.915        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.71e+03     |
|    n_updates            | 3110         |
|    policy_gradient_loss | -0.00756     |
|    std                  | 0.446        |
|    value_loss           | 6.76e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 119          |
|    ep_rew_mean          | -213         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 19           |
|    time_elapsed         | 4372         |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0058155805 |
|    clip_fraction        | 0.0441       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.876        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.93e+03     |
|    n_updates            | 3120         |
|    policy_gradient_loss | -0.00848     |
|    std                  | 0.445        |
|    value_loss           | 7.49e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 99.6         |
|    ep_rew_mean          | -135         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 20           |
|    time_elapsed         | 4604         |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0051592654 |
|    clip_fraction        | 0.0281       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.875        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.33e+03     |
|    n_updates            | 3130         |
|    policy_gradient_loss | -0.00664     |
|    std                  | 0.445        |
|    value_loss           | 5.25e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | -112        |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 21          |
|    time_elapsed         | 4824        |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.007194361 |
|    clip_fraction        | 0.0493      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.21       |
|    explained_variance   | 0.905       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.39e+03    |
|    n_updates            | 3140        |
|    policy_gradient_loss | -0.0069     |
|    std                  | 0.444       |
|    value_loss           | 5.85e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 115          |
|    ep_rew_mean          | -117         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 22           |
|    time_elapsed         | 5053         |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0034154265 |
|    clip_fraction        | 0.0434       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.2         |
|    explained_variance   | 0.914        |
|    learning_rate        | 0.0003       |
|    loss                 | 837          |
|    n_updates            | 3150         |
|    policy_gradient_loss | -0.00738     |
|    std                  | 0.44         |
|    value_loss           | 4.3e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | -115         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 23           |
|    time_elapsed         | 5282         |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0046312427 |
|    clip_fraction        | 0.028        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.19        |
|    explained_variance   | 0.915        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.94e+03     |
|    n_updates            | 3160         |
|    policy_gradient_loss | -0.00621     |
|    std                  | 0.439        |
|    value_loss           | 6.51e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 115          |
|    ep_rew_mean          | -108         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 24           |
|    time_elapsed         | 5505         |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0052940985 |
|    clip_fraction        | 0.0271       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.19        |
|    explained_variance   | 0.853        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.95e+03     |
|    n_updates            | 3170         |
|    policy_gradient_loss | -0.0043      |
|    std                  | 0.439        |
|    value_loss           | 1.06e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 125          |
|    ep_rew_mean          | -141         |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 25           |
|    time_elapsed         | 5733         |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0047537955 |
|    clip_fraction        | 0.0315       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.19        |
|    explained_variance   | 0.877        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.75e+03     |
|    n_updates            | 3180         |
|    policy_gradient_loss | -0.00602     |
|    std                  | 0.437        |
|    value_loss           | 5.32e+03     |
------------------------------------------
